"Rank";"Sourceid";"Title";"Type";"Issn";"SJR;SJR Quartile";"H index;Total Docs. (2019)";"Total Docs. (3years)";"Total Refs.";"Total Cites (3years)";"Citable Docs. (3years)";"Cites / Doc. (2years)";"Ref. / Doc.";"Country";"Region";"Publisher";"Coverage";"Categories"
1;4700152228;"Molecular Systems Biology";journal;"17444292";7,338;Q1;140;51;178;3218;1458;154;8,84;63,10;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
2;9500153903;"Biological Reviews";journal;"1469185X, 14647931";4,974;Q1;153;107;271;24594;3016;270;10,88;229,85;United States;Northern America;"Wiley-Blackwell";"1924-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
3;12977;"PLoS Biology";journal;"15449173, 15457885";4,488;Q1;260;491;968;28862;6833;896;6,81;58,78;United States;Northern America;"Public Library of Science";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
4;15537;"Current Biology";journal;"18790445, 09609822";3,958;Q1;303;820;2491;34243;13889;2234;6,01;41,76;United States;Northern America;"Cell Press";"1991-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
5;13096;"BMC Biology";journal;"17417007";3,698;Q1;96;110;396;8078;2073;328;6,31;73,44;United Kingdom;Western Europe;"BioMed Central Ltd.";"2003-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
6;17269;"Studies in Mycology";journal;"01660616";3,411;Q1;88;12;53;1947;474;53;8,73;162,25;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
7;13602;"Philosophical Transactions of the Royal Society B: Biological Sciences";journal;"09628436, 14712970";3,051;Q1;254;434;1273;30742;7450;1175;5,68;70,83;United Kingdom;Western Europe;"The Royal Society";"1947, 1950-1951, 1970-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
8;13017;"Physics of Life Reviews";journal;"18731457, 15710645";2,854;Q1;58;139;355;5343;521;30;18,21;38,44;Netherlands;Western Europe;"Elsevier";"2004-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)"
9;15049;"Biometrika";journal;"14643510, 00063444";2,800;Q1;111;53;203;1658;387;197;1,73;31,28;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1945, 1947-1951, 1965-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
10;21100218523;"Ecosystem Services";journal;"22120416";2,672;Q1;56;162;505;11678;3635;462;7,51;72,09;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
